"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CPlayer","AlterHP_Animus","8","24","0.33","D:\repo\WorldServer\Entities\CPlayer_Animus.cpp","311","D:\repo\WorldServerIdaPro\functions\CPlayer__AlterHP_Animus_1.c"
"CPlayer","IsMiningByMinigTicket","9","27","0.33","D:\repo\WorldServer\Entities\CPlayer.cpp","3988","D:\repo\WorldServerIdaPro\functions\CPlayer__IsMiningByMinigTicket_1.c"
"CPlayer","pc_SkillRequest","7","21","0.33","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","804","D:\repo\WorldServerIdaPro\functions\CPlayer__pc_SkillRequest_1.c"
"CPlayer","SendMsg_QuestProcess","7","21","0.33","D:\repo\WorldServer\Entities\CPlayer.cpp","2988","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_QuestProcess_1.c"
"CPlayer","SendMsg_ResDivision","10","30","0.33","D:\repo\WorldServer\Entities\CPlayer_Storage.cpp","220","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_ResDivision_1.c"
"CProcessThread","CProcessThread","7","21","0.33","D:\repo\WorldServer\Entities\CProcessThread.cpp","19","D:\repo\WorldServerIdaPro\functions\CProcessThread__CProcessThread_1.c"
"CTotalGuildRankManager","UpdateComlete","7","21","0.33","D:\repo\WorldServer\Entities\CTotalGuildRankManager.cpp","129","D:\repo\WorldServerIdaPro\functions\CTotalGuildRankManager__UpdateComlete_1.c"
"CUnmannedTraderController","CompleteBuyRollBack","13","39","0.33","D:\repo\WorldServer\Entities\CUnmannedTraderController.cpp","1390","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderController__CompleteBuyRollBack_1.c"
"CUnmannedTraderGroupItemInfoTable","IsExistGroupID","7","21","0.33","D:\repo\WorldServer\Entities\CUnmannedTraderGroupItemInfoTable.cpp","91","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupItemInfoTable__IsExistGroupID_1.c"
"CUnmannedTraderUserInfo","CheckCancelRegist","19","58","0.33","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","601","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__CheckCancelRegist_1.c"
"CBsp","GetLightFromPoint","58","170","0.34","D:\repo\WorldServer\Entities\CBsp.cpp","926","D:\repo\WorldServerIdaPro\functions\CBsp__GetLightFromPoint.c"
"CBsp","GetYposInLeaf","37","110","0.34","D:\repo\WorldServer\Entities\CBsp.cpp","729","D:\repo\WorldServerIdaPro\functions\CBsp__GetYposInLeaf.c"
"CPlayerDB","CPlayerDB","12","35","0.34","D:\repo\WorldServer\Entities\CPlayerDB.cpp","60","D:\repo\WorldServerIdaPro\functions\CPlayerDB__CPlayerDB_1.c"
"CUserRankingProcess","InitProcFunc","16","47","0.34","D:\repo\WorldServer\Entities\CUserRankingProcess.cpp","782","D:\repo\WorldServerIdaPro\functions\CUserRankingProcess__InitProcFunc_1.c"
"UsStateTBL","Alloc","20","59","0.34","D:\repo\WorldServer\Entities\UsHFSM.cpp","195","D:\repo\WorldServerIdaPro\functions\UsStateTBL__Alloc_1.c"
"CMoveMapLimitManager","Request","9","26","0.35","D:\repo\WorldServer\Entities\CMoveMapLimitManager.cpp","50","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitManager__Request_1.c"
"CNetworkEX","ATradeRegedListRequest","8","23","0.35","D:\repo\WorldServer\Entities\CNetworkEX.cpp","9045","D:\repo\WorldServerIdaPro\functions\CNetworkEX__ATradeRegedListRequest_1.c"
"CNetworkEX","ATradeReRegistRequest","8","23","0.35","D:\repo\WorldServer\Entities\CNetworkEX.cpp","9059","D:\repo\WorldServerIdaPro\functions\CNetworkEX__ATradeReRegistRequest_1.c"
"CPlayer","SendMsg_RemainTimeInform","8","23","0.35","D:\repo\WorldServer\Entities\CPlayer_Trade.cpp","119","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_RemainTimeInform_1.c"
"CRaceBuffHolyQuestResultInfo","SetBuffFlag","9","26","0.35","D:\repo\WorldServer\Entities\CRaceBuffHolyQuestResultInfo.cpp","156","D:\repo\WorldServerIdaPro\functions\CRaceBuffHolyQuestResultInfo__SetBuffFlag_1.c"
"CUnmannedTraderGroupItemInfoTable","GetGroupID","8","23","0.35","D:\repo\WorldServer\Entities\CUnmannedTraderGroupItemInfoTable.cpp","72","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupItemInfoTable__GetGroupID_1.c"
