target	action
_unmannedtrader_close_item_inform_zocl	already_ok
_unmannedtrader_continue_item_inform_zocl::__list	create_missing
_unmannedtrader_re_regist_request_clzo::__list	create_missing
_unmannedtrader_re_regist_result_zocl	already_ok
_unmannedtrader_regist_item_error_result_zocl	create_missing
_unmannedtrader_regist_item_success_result_zocl	already_ok
_unmannedtrader_search_list_request_clzo	already_ok
_unmannedtrader_search_list_result_zocl	create_missing
_unmannedtrader_search_list_result_zocl::__list	create_missing
_use_active_jade_result_zocl	create_missing
_use_fire_cracker_item_inform_zocl	create_missing
_use_fire_cracker_item_result_zocl	create_missing
_use_potion_result_other_zocl	create_missing
_use_potion_result_zocl	create_missing
_use_radar_result_zocl	create_missing
_use_soccer_ball_item_inform_zocl	create_missing
_use_soccer_ball_item_result_zocl	create_missing
_user_block_request_wrac	create_missing
_user_block_result_acwr	create_missing
_user_num_report_wrac	create_missing
_weekly_guild_rank_request_clzo	create_missing
_weekly_guild_rank_result_no_data_zocl	create_missing
_weekly_guild_rank_result_zocl::_list	create_missing
_world_msg_inform_acwr	create_missing
_world_user_num_zowb	create_missing
_worlddb_sf_delay_info::_eff_list	create_missing
_worlddb_sf_delay_info::_mas_list	create_missing
tagBITMAPFILEHEADER	skip_non_rf
