name	required_pack	status	file	line	kind	current_pack	decl
_combine_ex_item_request_clzo	1	ok	WorldServer/Entities/combine_ex_item_request_clzo.h	6	struct	1	struct __unaligned __declspec(align(1)) _combine_ex_item_request_clzo
_combine_ex_item_request_clzo::_list	1	no_match_in_entities					
_combine_ex_item_result_zocl	1	ok	WorldServer/Entities/combine_ex_item_result_zocl.h	7	struct	1	struct __cppobj _combine_ex_item_result_zocl
_combine_ex_item_result_zocl	1	ok	WorldServer/Entities/CPlayer.h	45	struct	1	struct _combine_ex_item_result_zocl;
_combine_ex_item_result_zocl::_Result_ItemList_Buff	1	no_match_in_entities					
_combine_item_request_clzo	1	ok	WorldServer/Entities/combine_item_request_clzo.h	7	struct	1	struct __cppobj __unaligned __declspec(align(1)) _combine_item_request_clzo
_combine_item_result_zocl	1	no_match_in_entities					
_combine_item_result_zocl::__item	1	no_match_in_entities					
_combine_lend_item_result_zocl	1	ok	WorldServer/Entities/exchange_lend_item_result_zocl.h	6	struct	1	struct _combine_lend_item_result_zocl
_combine_lend_item_result_zocl::_lend_item	1	no_match_in_entities					
_complete_vote_inform_zocl	1	no_match_in_entities					
_confirm_sms_infom_zoct	1	no_match_in_entities					
_continue_tower_inform	1	no_match_in_entities					
_count_succ_inform_zocl	1	no_match_in_entities					
_create_circle_zone_stone_zocl	1	no_match_in_entities					
_create_gravity_stone_zocl	1	no_match_in_entities					
_cum_download_result_zocl	1	ok	WorldServer/Entities/cum_download_result_zocl.h	7	struct	1	struct __unaligned __declspec(align(2)) _cum_download_result_zocl
_current_billing_type_inform_zocl	1	no_match_in_entities					
_cutting_complete_result_zocl	1	no_match_in_entities					
_d_trade_accomplish_inform_zocl	1	no_match_in_entities					
_d_trade_add_inform_zocl	1	no_match_in_entities					
_d_trade_add_request_clzo	1	no_match_in_entities					
_d_trade_bet_inform_zocl	1	no_match_in_entities					
_d_trade_bet_request_clzo	1	no_match_in_entities					
_d_trade_start_inform_zocl	1	no_match_in_entities					
_d_trade_unit_add_inform_zocl	1	no_match_in_entities					
_d_trade_unit_info_inform_zocl	1	no_match_in_entities					
_darkhole_answer_reenter_request_clzo	1	no_match_in_entities					
_darkhole_ask_reenter_inform_zocl	1	ok	WorldServer/Entities/darkhole_ask_reenter_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(2)) _darkhole_ask_reenter_inform_zocl
_darkhole_clear_out_result_zocl	1	ok	WorldServer/Entities/darkhole_clear_out_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_clear_out_result_zocl
_darkhole_destroy_zocl	1	ok	WorldServer/Entities/darkhole_destroy_zocl.h	6	struct	1	struct __unaligned __declspec(align(2)) _darkhole_destroy_zocl
_darkhole_enter_request_clzo	1	no_match_in_entities					
_darkhole_enter_result_zocl	1	ok	WorldServer/Entities/darkhole_enter_result_zocl.h	6	struct	1	struct _darkhole_enter_result_zocl
_darkhole_giveup_out_result_zocl	1	ok	WorldServer/Entities/darkhole_giveup_out_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_giveup_out_result_zocl
_darkhole_job_count_inform_zocl	1	ok	WorldServer/Entities/darkhole_job_count_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_job_count_inform_zocl
_darkhole_member_info_inform_zocl	1	ok	WorldServer/Entities/darkhole_member_info_inform_zocl.h	6	struct	1	struct __cppobj __unaligned __declspec(align(2)) _darkhole_member_info_inform_zocl
_darkhole_member_info_inform_zocl::__list	1	no_match_in_entities					
_darkhole_mission_info_inform_zocl	1	ok	WorldServer/Entities/darkhole_mission_info_inform_zocl.h	6	struct	1	struct __cppobj __unaligned __declspec(align(1)) _darkhole_mission_info_inform_zocl
_darkhole_mission_info_inform_zocl::__job	1	no_match_in_entities					
_darkhole_new_member_inform_zocl	1	ok	WorldServer/Entities/darkhole_new_member_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(2)) _darkhole_new_member_inform_zocl
_darkhole_new_mission_inform_zocl	1	ok	WorldServer/Entities/darkhole_new_mission_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_new_mission_inform_zocl
_darkhole_open_result_zocl	1	ok	WorldServer/Entities/darkhole_open_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_open_result_zocl
_darkhole_outof_member_inform_zocl	1	ok	WorldServer/Entities/darkhole_outof_member_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_outof_member_inform_zocl
_darkhole_quest_info_inform_zocl	1	ok	WorldServer/Entities/darkhole_quest_info_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_quest_info_inform_zocl
_darkhole_real_add_time_inform_zocl	1	ok	WorldServer/Entities/darkhole_real_add_time_inform_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_real_add_time_inform_zocl
_darkhole_reward_message_inform_zocl	1	no_match_in_entities					
_darkhole_state_change_zocl	1	ok	WorldServer/Entities/darkhole_state_change_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _darkhole_state_change_zocl
_decide_recall_error_result_zocl	1	no_match_in_entities					
_decide_recall_request_clzo	1	no_match_in_entities					
_delete_storage_inform_zocl	1	no_match_in_entities					
_destroy_gravity_stone_zocl	1	no_match_in_entities					
_economy_data_inform_zowb	1	no_match_in_entities					
_economy_rate_inform_zocl	1	no_match_in_entities					
_editstream	1	no_match_in_entities					
_effect_add_inform_zocl	1	no_match_in_entities					
_effect_remove_inform_zocl	1	no_match_in_entities					
_effect_start_inform_zocl	1	no_match_in_entities					
_encorrecttext	4	no_match_in_entities					
_enlink	1	no_match_in_entities					
_enoleopfailed	1	no_match_in_entities					
_enprotected	1	no_match_in_entities					
_enter_world_request_wrac	1	ok	WorldServer/Entities/enter_world_request_wrac.h	7	struct	1	struct __unaligned __declspec(align(2)) _enter_world_request_wrac
_enter_world_request_zone	1	ok	WorldServer/Entities/enter_world_request_zone.h	6	struct	1	struct __unaligned __declspec(align(2)) _enter_world_request_zone
_exchange_money_result_zocl	1	no_match_in_entities					
_extraBytes_101	1	no_match_in_entities					
_extraBytes_102	1	no_match_in_entities					
_extraBytes_123	1	no_match_in_entities					
_extraBytes_13	1	no_match_in_entities					
_extraBytes_14	1	no_match_in_entities					
_extraBytes_143	1	no_match_in_entities					
_extraBytes_147	1	no_match_in_entities					
_extraBytes_148	1	no_match_in_entities					
_extraBytes_15	1	no_match_in_entities					
_extraBytes_150	1	no_match_in_entities					
_extraBytes_16	1	no_match_in_entities					
_extraBytes_17	1	no_match_in_entities					
_extraBytes_177	1	no_match_in_entities					
_extraBytes_18	1	no_match_in_entities					
_extraBytes_185	1	no_match_in_entities					
_extraBytes_19	1	no_match_in_entities					
