ea,segment,name,kind,value,used_by_functions,log_like
0x1406EC880,.rdata,?_Max@?$AtlLimits@H@ATL@@2HB,bytes[1],FF,,0
0x1406EC884,.rdata,?_Min@?$AtlLimits@I@ATL@@2IB,bytes[1],00,,0
0x1406EC888,.rdata,?_Max@?$AtlLimits@I@ATL@@2IB,bytes[1],FF,,0
0x1406EC88C,.rdata,?_Min@?$AtlLimits@J@ATL@@2JB,bytes[1],00,,0
0x1406EC890,.rdata,?_Max@?$AtlLimits@J@ATL@@2JB,bytes[1],FF,,0
0x1406EC894,.rdata,?_Min@?$AtlLimits@K@ATL@@2KB,bytes[1],00,,0
0x1406EC898,.rdata,?_Max@?$AtlLimits@K@ATL@@2KB,bytes[1],FF,,0
0x1406EC8A0,.rdata,?_Min@?$AtlLimits@_J@ATL@@2_JB,bytes[1],00,,0
0x1406EC8B0,.rdata,?_Max@?$AtlLimits@_J@ATL@@2_JB,bytes[1],FF,,0
0x1406EC8C0,.rdata,?_Min@?$AtlLimits@_K@ATL@@2_KB,bytes[1],00,,0
0x1406EC8D0,.rdata,?_Max@?$AtlLimits@_K@ATL@@2_KB,bytes[1],FF,,0
0x1406EC8DC,.rdata,?VT@?$CVarTypeInfo@D@ATL@@2GB,bytes[1],10,,0
0x1406EC8E0,.rdata,?pmField@?$CVarTypeInfo@D@ATL@@2QEQtagVARIANT@@DEQ3@,bytes[8],08 00 00 00 11 00 00 00,,0
0x1406EC8E8,.rdata,?pmField@?$CVarTypeInfo@E@ATL@@2QEQtagVARIANT@@EEQ3@,bytes[8],08 00 00 00 10 40 00 00,,0
0x1406EC8F0,.rdata,?pmField@?$CVarTypeInfo@PEAD@ATL@@2QEQtagVARIANT@@PEADEQ3@,bytes[8],08 00 00 00 11 40 00 00,,0
0x1406EC8F8,.rdata,?pmField@?$CVarTypeInfo@PEAE@ATL@@2QEQtagVARIANT@@PEAEEQ3@,bytes[8],08 00 00 00 02 00 00 00,,0
0x1406EC900,.rdata,?pmField@?$CVarTypeInfo@F@ATL@@2QEQtagVARIANT@@FEQ3@,bytes[8],08 00 00 00 02 40 00 00,,0
0x1406EC908,.rdata,?pmField@?$CVarTypeInfo@PEAF@ATL@@2QEQtagVARIANT@@PEAFEQ3@,bytes[8],08 00 00 00 12 00 00 00,,0
0x1406EC910,.rdata,?pmField@?$CVarTypeInfo@G@ATL@@2QEQtagVARIANT@@GEQ3@,bytes[8],08 00 00 00 12 40 00 00,,0
